Sample,A1AT_3911,A1AT_3933,A1AT_3934,A1AT_3936,A1AT_3937,Cela1_3912,Cela1_3914,Cela1_3915,Cela1_3953,Cela1_3955,DKO_3886,DKO_3888,DKO_3960,DKO_3961,DKO_3965,WT_3889,WT_3890,WT_3899,WT_3900,WT_3902
condition,AAT,AAT,AAT,AAT,AAT,Cela1,Cela1,Cela1,Cela1,Cela1,DKO,DKO,DKO,DKO,DKO,WT,WT,WT,WT,WT
mouse_id,3911,3933,3934,3936,3937,3912,3914,3915,3953,3955,3886,3888,3960,3961,3965,3889,3890,3899,3900,3902
rename,AAT_3911,AAT_3933,AAT_3934,AAT_3936,AAT_3937,Cela1_3912,Cela1_3914,Cela1_3915,Cela1_3953,Cela1_3955,DKO_3886,DKO_3888,DKO_3960,DKO_3961,DKO_3965,WT_3889,WT_3890,WT_3899,WT_3900,WT_3902
